Codigo,DataVenda,CodFilial,CodCliente,NomeCliente,CidadeCliente,EstadoCliente,CodProduto,DescricaoProdutos,CodVendedor,NomeVendedor,ValorBruto,ValorLiquido,Desconto,Variação
38,2025-04-05 22:47:50,26,2688,ZOOGENE LAB. ANIMAL LTDA,Curitiba,PR,357412,PALETE MEDIO,5859,Carlos Souza,9132.22,7579.74,1552.4774,0.17
39,2024-09-27 11:30:58,28,2888,LUIZ BATISTA EIRELI,Porto Velho,RO,357896,PALETE GRANDE,1516,Beatriz Gomes,11772.33,9771.03,2001.2961,0.17
40,2024-10-05 03:27:31,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,985214,REFRIGERADOR TS4,1478,Ricardo Almeida,1606.45,1333.35,273.0965,0.17
41,2025-06-16 07:50:24,19,1958,LAB. PASTEUR LTDA,Rio de Janeiro,RJ,985214,REFRIGERADOR TS4,7531,Pedro Costa,4379.49,3634.98,744.5133,0.17
42,2025-01-25 19:32:04,32,3287,VITALLIS DIAGNOSTICA LTDA,Belo Horizonte,MG,123456,CARRO TRANSPORTE,8521,Tatiana Lopes,7696.61,6388.19,1308.4237,0.17
43,2025-05-29 12:42:38,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,741852,GAVETA QUADRO,1254,Larissa Barbosa,10013.60,8311.29,1702.312,0.17
44,2025-07-14 12:12:58,31,3188,ADDLIFE DIAGNOSTICOS LTDA,Belém,PA,852963,MANOPLA TW12,4748,Thiago Nascimento,5452.10,4525.24,926.857,0.17
45,2025-04-02 01:46:47,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,963852,MANOPLA TW24,1010,Maria Santos,24903.84,20670.19,4233.6528,0.17
46,2024-11-10 09:58:44,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,852741,MANOPLA ZW64,4567,Camila Martins,19630.68,16293.46,3337.2156,0.17
47,2024-12-29 15:01:49,13,1315,LEMOS LAB. DE ANALISES CLINICAS S/S LTDA,Natal,RN,963741,MANOPLA ZW90,4879,Vanessa Correia,3193.62,2650.70,542.9154,0.17
48,2024-11-07 19:16:42,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,789456,EIXO 12X48,5514,Priscila Campos,5787.22,4803.39,983.8274,0.17
49,2025-07-14 14:06:36,30,3089,VITAL SYSTEMS ,Salvador,BA,123798,EIXO 24X48,2425,Bruno Rodrigues,10945.09,9084.42,1860.6653,0.17
50,2025-02-27 07:29:26,16,1698,LAB. MEDICO DR. MARICONDI LTDA,Rio Branco,AC,147258,EIXO 36X48,6568,Leandro Pinto,5357.38,4446.63,910.7546,0.17
51,2024-09-05 23:09:46,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,258369,EIXO 48X48,1241,Gabriela Rocha,20549.07,17055.73,3493.3419,0.17
52,2024-09-13 08:14:43,21,2189,ANDREY PAIXAO SILVA,Recife,PE,951236,PORTA PALETE ,1254,Larissa Barbosa,23334.66,19367.77,3966.8922,0.17
53,2025-02-25 18:35:56,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,325874,SUPORTE PORTA,1596,Mateus Carvalho,3348.18,2778.99,569.1906,0.17
54,2025-05-12 04:56:57,31,3188,ADDLIFE DIAGNOSTICOS LTDA,Belém,PA,753698,PALETE PEQUENO,1254,Larissa Barbosa,7452.13,6185.27,1266.8621,0.17
55,2024-09-17 17:16:37,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,357412,PALETE MEDIO,2369,Mariana Dias,5379.36,4464.87,914.4912,0.17
56,2025-02-04 17:09:10,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,357896,PALETE GRANDE,2425,Bruno Rodrigues,19564.45,16238.49,3325.9565,0.17
57,2025-05-05 16:50:41,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,985214,REFRIGERADOR TS4,1478,Ricardo Almeida,7836.86,6504.59,1332.2662,0.17
58,2025-01-01 22:26:13,25,2589,HOREBE DIAGNOSTICA PROTUTOS LABORATORIAIS LTDA,Aracaju,SE,985214,REFRIGERADOR TS4,1241,Gabriela Rocha,13462.79,11174.12,2288.6743,0.17
59,2025-03-03 08:57:40,28,2888,LUIZ BATISTA EIRELI,Porto Velho,RO,123456,CARRO TRANSPORTE,1241,Gabriela Rocha,61423.00,50981.09,10441.91,0.17
60,2024-11-14 22:48:21,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,741852,GAVETA QUADRO,8745,João Silva,10854.17,9008.96,1845.2089,0.17
61,2025-05-15 18:14:44,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,852963,MANOPLA TW12,1596,Mateus Carvalho,3361.19,2789.79,571.4023,0.17
62,2025-06-05 06:14:34,25,2589,HOREBE DIAGNOSTICA PROTUTOS LABORATORIAIS LTDA,Aracaju,SE,963852,MANOPLA TW24,9856,Juliana Ferreira,5821.91,4832.19,989.7247,0.17
63,2025-08-09 05:47:42,22,2288,BRUNA CUTAIT ME,Porto Alegre,RS,852741,MANOPLA ZW64,4748,Thiago Nascimento,16590.22,13769.88,2820.3374,0.17
64,2025-05-05 02:12:23,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,963741,MANOPLA ZW90,6454,Gustavo Ribeiro,13118.33,10888.21,2230.1161,0.17
65,2025-02-02 16:26:54,30,3089,VITAL SYSTEMS ,Salvador,BA,789456,EIXO 12X48,1596,Mateus Carvalho,5928.94,4921.02,1007.9198,0.17
66,2025-07-07 18:49:30,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,123798,EIXO 24X48,5859,Carlos Souza,24117.97,20017.92,4100.0549,0.17
67,2024-10-25 22:03:50,13,1315,LEMOS LAB. DE ANALISES CLINICAS S/S LTDA,Natal,RN,147258,EIXO 36X48,9897,Felipe Araújo,6254.31,5191.08,1063.2327,0.17
68,2024-12-17 08:12:14,32,3287,VITALLIS DIAGNOSTICA LTDA,Belo Horizonte,MG,258369,EIXO 48X48,1478,Ricardo Almeida,11639.06,9660.42,1978.6402,0.17
69,2025-03-28 03:14:46,13,1315,LEMOS LAB. DE ANALISES CLINICAS S/S LTDA,Natal,RN,951236,PORTA PALETE ,3256,Letícia Moreira,9551.58,7927.81,1623.7686,0.17
70,2025-05-21 10:17:25,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,325874,SUPORTE PORTA,5859,Carlos Souza,3616.96,3002.08,614.8832,0.17
71,2024-08-29 13:29:13,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,753698,PALETE PEQUENO,2425,Bruno Rodrigues,9175.28,7615.48,1559.7976,0.17
72,2024-08-24 05:08:50,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,357412,PALETE MEDIO,1616,Lucas Cardoso,4326.17,3590.72,735.4489,0.17
73,2024-08-25 15:55:25,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,357896,PALETE GRANDE,1616,Lucas Cardoso,10694.62,8876.53,1818.0854,0.17
74,2024-10-29 13:19:51,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,985214,REFRIGERADOR TS4,1616,Lucas Cardoso,7064.33,5863.39,1200.9361,0.17
75,2025-07-16 17:07:35,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,985214,REFRIGERADOR TS4,4748,Thiago Nascimento,6735.45,5590.42,1145.0265,0.17
76,2024-09-07 10:19:39,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,123456,CARRO TRANSPORTE,3256,Letícia Moreira,12493.46,10369.57,2123.8882,0.17
77,2025-03-21 07:52:09,10,1010,ASSOC. DAS PIONEIRAS SOCIAIS,São Paulo,SP,741852,GAVETA QUADRO,2425,Bruno Rodrigues,19855.95,16480.44,3375.5115,0.17
78,2024-08-21 04:49:11,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,852963,MANOPLA TW12,1010,Maria Santos,8943.94,7423.47,1520.4698,0.17
79,2024-12-15 10:55:10,19,1958,LAB. PASTEUR LTDA,Rio de Janeiro,RJ,963852,MANOPLA TW24,1616,Lucas Cardoso,73548.00,61044.84,12503.16,0.17
80,2025-04-22 09:57:55,34,3488,MASTER DIAGNOSTICA PROD.LAB. E HOSP. LTDA,São Luís,MA,852741,MANOPLA ZW64,7539,Rafael Pereira,14808.86,12291.35,2517.5062,0.17
81,2025-02-20 23:39:06,32,3287,VITALLIS DIAGNOSTICA LTDA,Belo Horizonte,MG,963741,MANOPLA ZW90,2369,Mariana Dias,5311.29,4408.37,902.9193,0.17
82,2025-01-06 14:02:26,16,1698,LAB. MEDICO DR. MARICONDI LTDA,Rio Branco,AC,789456,EIXO 12X48,4748,Thiago Nascimento,5635.24,4677.25,957.9908,0.17
83,2025-05-07 17:47:25,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,123798,EIXO 24X48,5859,Carlos Souza,13497.51,11202.93,2294.5767,0.17
84,2025-02-03 22:40:54,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,147258,EIXO 36X48,1516,Beatriz Gomes,10826.61,8986.09,1840.5237,0.17
85,2025-03-12 05:02:28,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,258369,EIXO 48X48,1478,Ricardo Almeida,10424.22,8652.10,1772.1174,0.17
86,2025-06-26 15:21:34,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,951236,PORTA PALETE ,7531,Pedro Costa,3849.72,3195.27,654.4524,0.17
87,2024-09-01 08:21:32,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,325874,SUPORTE PORTA,8521,Tatiana Lopes,5577.61,4629.42,948.1937,0.17
88,2024-09-18 06:14:58,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,753698,PALETE PEQUENO,1254,Larissa Barbosa,13385.31,11109.81,2275.5027,0.17
89,2024-11-28 03:08:37,32,3287,VITALLIS DIAGNOSTICA LTDA,Belo Horizonte,MG,357412,PALETE MEDIO,4748,Thiago Nascimento,10068.00,8356.44,1711.56,0.17
90,2025-06-10 08:48:00,16,1698,LAB. MEDICO DR. MARICONDI LTDA,Rio Branco,AC,357896,PALETE GRANDE,1010,Maria Santos,12334.63,10237.74,2096.8871,0.17
91,2025-04-25 03:02:11,10,1010,ASSOC. DAS PIONEIRAS SOCIAIS,São Paulo,SP,985214,REFRIGERADOR TS4,4567,Camila Martins,10188.52,8456.47,1732.0484,0.17
92,2025-04-24 19:48:20,15,1599,HEMOLAB LAB. HEMAT. ANAL. CLINICAS,Macapá,AP,985214,REFRIGERADOR TS4,4879,Vanessa Correia,16702.73,14197.32,2505.4095,0.15
93,2024-09-08 11:20:38,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,123456,CARRO TRANSPORTE,5514,Priscila Campos,11715.04,9957.78,1757.256,0.15
94,2025-05-05 09:07:35,21,2189,ANDREY PAIXAO SILVA,Recife,PE,741852,GAVETA QUADRO,2425,Bruno Rodrigues,8485.93,7213.04,1272.8895,0.15
95,2024-12-10 15:55:35,10,1010,ASSOC. DAS PIONEIRAS SOCIAIS,São Paulo,SP,852963,MANOPLA TW12,6568,Leandro Pinto,3573.59,3037.55,536.0385,0.15
96,2025-04-26 21:55:32,27,2787,TATIANE FLORES,Brasília,DF,963852,MANOPLA TW24,1241,Gabriela Rocha,13776.65,11710.15,2066.4975,0.15
97,2025-08-01 15:51:26,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,852741,MANOPLA ZW64,1254,Larissa Barbosa,9269.71,7879.25,1390.4565,0.15
98,2025-02-22 08:17:07,22,2288,BRUNA CUTAIT ME,Porto Alegre,RS,963741,MANOPLA ZW90,1596,Mateus Carvalho,4737.46,4026.84,710.619,0.15
99,2025-01-20 06:46:26,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,789456,EIXO 12X48,1254,Larissa Barbosa,9436.32,8020.87,1415.448,0.15
100,2024-08-15 05:56:47,16,1698,LAB. MEDICO DR. MARICONDI LTDA,Rio Branco,AC,123798,EIXO 24X48,2369,Mariana Dias,5452.10,4634.29,817.815,0.15
101,2025-02-19 04:58:24,31,3188,ADDLIFE DIAGNOSTICOS LTDA,Belém,PA,147258,EIXO 36X48,2425,Bruno Rodrigues,9170.33,7794.78,1375.5495,0.15
102,2025-01-06 04:46:06,27,2787,TATIANE FLORES,Brasília,DF,258369,EIXO 48X48,1478,Ricardo Almeida,3193.62,2714.58,479.043,0.15
103,2024-12-28 01:33:20,35,3598,BIOVALENT PRODUTOS E EQUIP. LABORATORIAIS LTDA ME,Manaus,AM,951236,PORTA PALETE ,1241,Gabriela Rocha,5600.28,4760.24,840.042,0.15
104,2025-08-08 11:58:37,30,3089,VITAL SYSTEMS ,Salvador,BA,325874,SUPORTE PORTA,1241,Gabriela Rocha,20341.53,17290.30,3051.2295,0.15
105,2025-03-24 01:57:08,32,3287,VITALLIS DIAGNOSTICA LTDA,Belo Horizonte,MG,753698,PALETE PEQUENO,8745,João Silva,4555.85,3872.47,683.3775,0.15
106,2024-12-03 12:53:31,35,3598,BIOVALENT PRODUTOS E EQUIP. LABORATORIAIS LTDA ME,Manaus,AM,357412,PALETE MEDIO,1596,Mateus Carvalho,7761.94,6597.65,1164.291,0.15
107,2025-05-04 18:13:55,35,3598,BIOVALENT PRODUTOS E EQUIP. LABORATORIAIS LTDA ME,Manaus,AM,357896,PALETE GRANDE,9856,Juliana Ferreira,21007.82,17856.65,3151.173,0.15
108,2024-11-09 22:31:39,16,1698,LAB. MEDICO DR. MARICONDI LTDA,Rio Branco,AC,985214,REFRIGERADOR TS4,4748,Thiago Nascimento,16590.22,14101.69,2488.533,0.15
109,2025-05-10 23:07:02,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,985214,REFRIGERADOR TS4,6454,Gustavo Ribeiro,4563.32,3878.82,684.498,0.15
110,2025-03-19 08:15:24,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,123456,CARRO TRANSPORTE,1596,Mateus Carvalho,4537.99,3857.29,680.6985,0.15
111,2025-02-04 15:52:09,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,741852,GAVETA QUADRO,5859,Carlos Souza,4310.85,3664.22,646.6275,0.15
112,2025-06-05 11:37:03,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,852963,MANOPLA TW12,9897,Felipe Araújo,11585.05,9847.29,1737.7575,0.15
113,2024-08-15 03:53:55,27,2787,TATIANE FLORES,Brasília,DF,963852,MANOPLA TW24,1478,Ricardo Almeida,16953.57,14410.53,2543.0355,0.15
114,2025-04-16 13:33:08,28,2888,LUIZ BATISTA EIRELI,Porto Velho,RO,852741,MANOPLA ZW64,3256,Letícia Moreira,3090.21,2626.68,463.5315,0.15
115,2024-08-31 08:38:25,22,2288,BRUNA CUTAIT ME,Porto Alegre,RS,963741,MANOPLA ZW90,5859,Carlos Souza,10442.22,8875.89,1566.333,0.15
116,2025-03-17 02:30:34,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,789456,EIXO 12X48,2425,Bruno Rodrigues,24137.83,20517.16,3620.6745,0.15
117,2025-02-16 09:23:47,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,123798,EIXO 24X48,1616,Lucas Cardoso,4815.53,4093.20,722.3295,0.15
118,2025-05-11 05:00:18,36,3688,GL REPRESENTACOES,Vitória,ES,147258,EIXO 36X48,1616,Lucas Cardoso,5367.44,4562.32,805.116,0.15
119,2025-01-29 10:50:14,35,3598,BIOVALENT PRODUTOS E EQUIP. LABORATORIAIS LTDA ME,Manaus,AM,258369,EIXO 48X48,1616,Lucas Cardoso,5928.94,5039.60,889.341,0.15
120,2025-02-14 12:45:07,22,2288,BRUNA CUTAIT ME,Porto Alegre,RS,951236,PORTA PALETE ,4748,Thiago Nascimento,10625.60,9031.76,1593.84,0.15
121,2025-07-11 20:46:54,15,1599,HEMOLAB LAB. HEMAT. ANAL. CLINICAS,Macapá,AP,325874,SUPORTE PORTA,3256,Letícia Moreira,1997.87,1698.19,299.6805,0.15
122,2024-12-17 12:12:16,29,2989,LBX PRODUTOS PARA LAB. LTDA,Maceió,AL,753698,PALETE PEQUENO,2425,Bruno Rodrigues,3874.24,3293.10,581.136,0.15
123,2024-10-07 23:01:25,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,357412,PALETE MEDIO,1010,Maria Santos,21185.08,18007.32,3177.762,0.15
124,2024-08-25 19:41:49,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,357896,PALETE GRANDE,1616,Lucas Cardoso,5408.86,4597.53,811.329,0.15
125,2025-07-31 21:21:33,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,985214,REFRIGERADOR TS4,7539,Rafael Pereira,15436.21,13120.78,2315.4315,0.15
126,2025-07-15 01:18:32,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,985214,REFRIGERADOR TS4,2369,Mariana Dias,6215.44,5283.12,932.316,0.15
127,2025-01-11 03:16:04,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,123456,CARRO TRANSPORTE,4748,Thiago Nascimento,7964.48,6769.81,1194.672,0.15
128,2024-10-23 21:50:47,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,741852,GAVETA QUADRO,5859,Carlos Souza,6617.18,5624.60,992.577,0.15
129,2025-05-02 17:53:32,17,1789,ANIMA CENTRO HOSPITALAR LTDA,Campo Grande,MS,852963,MANOPLA TW12,1516,Beatriz Gomes,7064.33,6004.68,1059.6495,0.15
130,2024-10-31 18:08:47,32,3287,VITALLIS DIAGNOSTICA LTDA,Belo Horizonte,MG,963852,MANOPLA TW24,1478,Ricardo Almeida,6211.61,5279.87,931.7415,0.15
131,2025-07-31 03:11:16,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,852741,MANOPLA ZW64,7531,Pedro Costa,10015.80,8513.43,1502.37,0.15
132,2024-09-01 12:22:06,21,2189,ANDREY PAIXAO SILVA,Recife,PE,963741,MANOPLA ZW90,8521,Tatiana Lopes,5669.69,4819.24,850.4535,0.15
133,2024-10-29 14:05:17,32,3287,VITALLIS DIAGNOSTICA LTDA,Belo Horizonte,MG,789456,EIXO 12X48,1254,Larissa Barbosa,2396.88,2037.35,359.532,0.15
134,2024-10-26 21:39:02,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,123798,EIXO 24X48,4748,Thiago Nascimento,9269.71,7879.25,1390.4565,0.15
135,2024-12-02 04:25:01,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,147258,EIXO 36X48,1010,Maria Santos,11123.93,9455.34,1668.5895,0.15
136,2025-06-10 17:23:29,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,258369,EIXO 48X48,4567,Camila Martins,11497.31,9772.71,1724.5965,0.15
137,2024-10-24 16:28:36,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,951236,PORTA PALETE ,4879,Vanessa Correia,24381.02,20723.87,3657.153,0.15
138,2025-04-21 19:12:24,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,325874,SUPORTE PORTA,5514,Priscila Campos,11973.39,10177.38,1796.0085,0.15
139,2025-03-31 09:02:46,31,3188,ADDLIFE DIAGNOSTICOS LTDA,Belém,PA,753698,PALETE PEQUENO,2425,Bruno Rodrigues,2214.44,1882.27,332.166,0.15
